name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,stations,source
"Kandy, Sri Lanka",2023-09-20,85.5,68.8,75,90.8,68.8,76,69.8,85.1,0.042,100,16.67,rain,91.7,11.3,124.2,10.8,5,2023-09-20T05:57:06,2023-09-20T18:05:01,0.18,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,"43479099999,43476099999,43486099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-09-21,85.9,67.7,75.3,92,67.7,76.1,69.6,83.9,0.049,100,16.67,rain,63.9,11.9,237.9,20.6,9,2023-09-21T05:56:57,2023-09-21T18:04:28,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-09-22,84.1,68.8,74.7,91.2,68.8,75.4,69.9,86,0.065,100,20.83,rain,54.2,12.9,220.8,19,8,2023-09-22T05:56:47,2023-09-22T18:03:55,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-09-23,83.4,68.6,74.6,88.9,68.6,75.2,69.6,85.1,0.007,100,8.33,rain,61.7,13.8,235.5,20.3,8,2023-09-23T05:56:38,2023-09-23T18:03:22,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-09-24,84.3,67.7,75,89.8,67.7,76,69.5,83.9,0.015,100,8.33,rain,63.9,14,231.4,20,8,2023-09-24T05:56:29,2023-09-24T18:02:49,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-09-25,83.7,70.4,75.5,90.5,70.4,76.3,70.3,84.4,0.027,100,12.5,rain,84.3,14.1,245.6,21.2,9,2023-09-25T05:56:20,2023-09-25T18:02:16,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-09-26,81.3,70.2,74.2,85.5,70.2,74.5,69.4,85.5,0.061,100,20.83,rain,82.4,12.8,228.2,20,8,2023-09-26T05:56:11,2023-09-26T18:01:43,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-09-27,79.8,69.5,73.9,79.8,69.5,73.9,69.8,87.3,0.586,100,29.17,rain,94.5,13.2,200.7,17.3,8,2023-09-27T05:56:03,2023-09-27T18:01:11,0.43,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-09-28,77.1,69.9,73.5,77.1,69.9,73.5,69,86.2,0.894,100,20.83,rain,96.4,14,172.2,15.1,7,2023-09-28T05:55:54,2023-09-28T18:00:38,0.46,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-09-29,79.2,70.1,73.5,79.2,70.1,73.5,68.4,84.7,0.556,100,33.33,rain,86.5,13.2,196.2,17,7,2023-09-29T05:55:46,2023-09-29T18:00:06,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-09-30,83.7,68.1,73.5,88.1,68.1,73.9,68.8,86,0.647,100,29.17,rain,90.5,12.9,178.7,15.5,7,2023-09-30T05:55:38,2023-09-30T17:59:34,0.53,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-10-01,81.8,67.4,73.1,86,67.4,73.4,68.6,86.5,0.138,100,25,rain,90.6,12.6,195.1,16.8,8,2023-10-01T05:55:30,2023-10-01T17:59:03,0.56,"Rain, Overcast",Cloudy skies throughout the day with rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-10-02,83.6,69.7,74.4,89.5,69.7,75,69.8,86.3,0.095,100,16.67,rain,83.8,12.9,176.8,15.2,8,2023-10-02T05:55:22,2023-10-02T17:58:31,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-10-03,82.4,69.3,74.1,86.3,69.3,74.2,70.1,88,0.05,100,16.67,rain,91,12.5,188.9,16.4,8,2023-10-03T05:55:15,2023-10-03T17:58:00,0.63,"Rain, Overcast",Cloudy skies throughout the day with rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-10-04,81.5,69.7,74.1,85.5,69.7,74.5,70.6,89.2,0.052,100,16.67,rain,92.8,10.7,126.7,10.9,5,2023-10-04T05:55:08,2023-10-04T17:57:30,0.66,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-10-05,81.5,69.2,74.6,86.7,69.2,74.8,70.5,87.4,0.415,100,25,rain,88.4,12.4,196.9,17.3,7,2023-10-05T05:55:01,2023-10-05T17:57:00,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-10-06,81.7,69.9,74.1,86.9,69.9,74.3,71.2,91.1,0.043,100,20.83,rain,90.9,12,175.6,15.1,8,2023-10-06T05:54:55,2023-10-06T17:56:30,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,"43479099999,43476099999,43486099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-10-07,84.9,69.5,74.9,92.1,69.5,75.7,70.8,87.7,0.168,100,20.83,rain,85.3,11.2,204.2,17.6,8,2023-10-07T05:54:49,2023-10-07T17:56:00,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-10-08,85.8,71,75.6,93.7,71,76.8,71.5,88.1,1.955,100,12.5,rain,88.4,10.8,209.5,18.1,9,2023-10-08T05:54:43,2023-10-08T17:55:31,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-10-09,85.2,70.1,74.8,91.7,70.1,75.6,71.1,89.1,2.12,100,20.83,rain,87.2,8.9,192.3,16.5,8,2023-10-09T05:54:38,2023-10-09T17:55:02,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
